IDs,Names,ClubIDs
234509,André Onana,985
336077,Altay Bayındır,985
34130,Tom Heaton,985
480762,Lisandro Martínez,985
164770,Raphaël Varane,985
177907,Harry Maguire,985
184573,Victor Lindelöf,985
42412,Jonny Evans,985
183288,Luke Shaw,985
339340,Tyrell Malacia,985
282429,Sergio Reguilón,985
357147,Diogo Dalot,985
477758,Aaron Wan-Bissaka,985
16306,Casemiro,985
287579,Sofyan Amrabat,985
315969,Scott McTominay,985
288255,Donny van de Beek,985
820374,Kobbie Mainoo,985
240306,Bruno Fernandes,985
346483,Mason Mount,985
69633,Christian Eriksen,985
607224,Hannibal,985
640026,Shola Shoretire,985
258923,Marcus Rashford,985
401173,Jadon Sancho,985
811779,Alejandro Garnacho,985
602105,Antony,985
536835,Amad Diallo,985
676318,Facundo Pellistri,985
610442,Rasmus Højlund,985
182877,Anthony Martial,985
427568,Aaron Ramsdale,11
262749,David Raya,11
493513,Karl Hein,11
495666,William Saliba,11
435338,Gabriel Magalhães,11
420243,Jurrien Timber,11
425918,Jakub Kiwior,11
203853,Oleksandr Zinchenko,11
335721,Ben White,11
331560,Takehiro Tomiyasu,11
112988,Cédric Soares,11
357662,Declan Rice,11
230784,Thomas Partey,11
102017,Jorginho,11
160438,Mohamed Elneny,11
316264,Martin Ødegaard,11
309400,Kai Havertz,11
392765,Emile Smith Rowe,11
537598,Fábio Vieira,11
655488,Gabriel Martinelli,11
144028,Leandro Trossard,11
433177,Bukayo Saka,11
340325,Reiss Nelson,11
363205,Gabriel Jesus,11
340324,Eddie Nketiah,11
238223,Ederson,281
85941,Stefan Ortega,281
221624,Zack Steffen,281
14555,Scott Carson,281
258004,Rúben Dias,281
475959,Josko Gvardiol,281
177476,Nathan Aké,281
186590,John Stones,281
284730,Manuel Akanji,281
366930,Sergio Gómez,281
701057,Rico Lewis,281
95424,Kyle Walker,281
357565,Rodri,281
351749,Kalvin Phillips,281
601883,Matheus Nunes,281
51471,Mateo Kovacic,281
241641,Bernardo Silva,281
88755,Kevin De Bruyne,281
203460,Jack Grealish,281
486049,Jérémy Doku,281
406635,Phil Foden,281
661207,Oscar Bobb,281
418560,Erling Haaland,281
576024,Julián Álvarez,281
403151,Robert Sánchez,631
465555,Djordje Petrovic,631
116648,Marcus Bettinelli,631
490606,Lucas Bergström,631
614258,Levi Colwill,631
386047,Axel Disasi,631
463603,Benoît Badiashile,631
475411,Wesley Fofana,631
346314,Trevoh Chalobah,631
344596,Malang Sarr,631
29241,Thiago Silva,631
316125,Ben Chilwell,631
284857,Marc Cucurella,631
485585,Ian Maatsen,631
472423,Reece James,631
620322,Malo Gusto,631
687626,Moisés Caicedo,631
628451,Roméo Lavia,631
711999,Lesley Ugochukwu,631
648195,Enzo Fernández,631
488362,Conor Gallagher,631
659459,Carney Chukwuemeka,631
344381,Christopher Nkunku,631
568177,Cole Palmer,631
134425,Raheem Sterling,631
537860,Mykhaylo Mudryk,631
503987,Noni Madueke,631
776890,Nicolas Jackson,631
571743,Armando Broja,631
1082850,Deivid Washington,631
105470,Alisson,31
340918,Caoimhín Kelleher,31
71271,Adrián,31
357119,Ibrahima Konaté,31
139208,Virgil van Dijk,31
256178,Joe Gomez,31
82105,Joel Matip,31
632349,Jarell Quansah,31
234803,Andrew Robertson,31
338070,Konstantinos Tsimikas,31
314353,Trent Alexander-Arnold,31
624258,Conor Bradley,31
146310,Wataru Endo,31
864799,Stefan Bajcetic,31
451276,Dominik Szoboszlai,31
534033,Alexis Mac Allister,31
478573,Ryan Gravenberch,31
433188,Curtis Jones,31
60444,Thiago,31
565822,Harvey Elliott,31
480692,Luis Díaz,31
340950,Diogo Jota,31
148455,Mohamed Salah,31
719673,Ben Doak,31
546543,Darwin Núñez,31
434675,Cody Gakpo,31
